Match,Home,Score,Away,Wins1,Draws,Wins2,B365CH,B365CD,B365CA,B365H,B365D,B365A,xG_Home,xG_Away
Chelsea 1–1 Liverpool,Chelsea,1–1,Liverpool,10,15,11,3.1,3.6,2.15,2.9,3.4,2.38,1.4,1.3
Liverpool 3–1 Bournemouth,Liverpool,3–1,Bournemouth,15,1,2,1.2,7.5,12.0,1.2,7.0,13.0,3.0,1.3
Newcastle Utd 1–2 Liverpool,Newcastle Utd,1–2,Liverpool,4,6,14,2.2,3.75,3.1,2.2,3.75,3.0,2.0,0.9
Liverpool 3–0 Aston Villa,Liverpool,3–0,Aston Villa,14,3,6,1.6,4.75,4.75,1.65,4.5,4.5,2.5,0.7
Chelsea 1–1 Liverpool,Chelsea,1–1,Liverpool,4,1,13,3.1,3.6,2.15,2.9,3.4,2.38,1.4,1.3
Liverpool 3–1 West Ham,Liverpool,3–1,West Ham,16,4,6,1.36,5.25,7.5,1.4,5.0,7.0,3.0,1.1
Tottenham 2–1 Liverpool,Tottenham,2–1,Liverpool,5,8,16,3.0,3.8,2.2,2.9,4.0,2.15,2.2,1.3
Chelsea 1–1 Liverpool,Chelsea,1–1,Liverpool,3,3,10,3.1,3.6,2.15,2.9,3.4,2.38,1.4,1.3
Liverpool 2–0 Everton,Liverpool,2–0,Everton,14,13,2,1.4,5.25,7.0,1.33,5.75,7.5,2.2,0.1
Liverpool 3–0 Nott'ham Forest,Liverpool,3–0,Nott'ham Forest,2,0,1,1.22,7.0,11.0,1.29,5.75,11.0,3.2,0.4
Luton Town 1–1 Liverpool,Luton Town,1–1,Liverpool,0,0,0,11.0,7.5,1.2,12.0,6.5,1.22,0.8,2.6
Liverpool 3–0 Brentford,Liverpool,3–0,Brentford,2,1,1,1.36,5.5,7.5,1.4,5.0,6.5,1.7,1.6
Manchester City 1–1 Liverpool,Manchester City,1–1,Liverpool,10,13,15,1.7,4.2,4.33,1.73,4.2,4.2,1.3,0.6
Liverpool 4–3 Fulham,Liverpool,4–3,Fulham,9,2,3,1.25,7.0,10.0,1.25,6.5,9.0,2.1,1.2
Sheffield Utd 0–2 Liverpool,Sheffield Utd,0–2,Liverpool,0,0,4,15.0,7.5,1.18,12.0,7.5,1.2,1.0,1.7
Crystal Palace 1–2 Liverpool,Crystal Palace,1–2,Liverpool,4,3,16,6.5,4.75,1.44,6.0,4.5,1.5,1.7,1.2
Liverpool 0–0 Manchester Utd,Liverpool,0–0,Manchester Utd,12,8,15,1.33,5.75,7.0,1.3,6.0,8.0,2.3,0.8
Liverpool 1–1 Arsenal,Liverpool,1–1,Arsenal,13,13,7,2.45,3.75,2.63,2.38,3.6,2.8,1.0,0.7
Burnley 0–2 Liverpool,Burnley,0–2,Liverpool,2,2,10,8.0,5.25,1.36,6.5,5.25,1.4,0.8,1.8
Liverpool 4–2 Newcastle Utd,Liverpool,4–2,Newcastle Utd,15,6,4,1.36,5.25,7.5,1.45,4.5,7.0,7.0,0.6
Bournemouth 0–4 Liverpool,Bournemouth,0–4,Liverpool,2,1,14,4.33,4.5,1.67,4.2,4.5,1.7,1.4,1.5
Liverpool 4–1 Chelsea,Liverpool,4–1,Chelsea,11,16,10,1.62,4.2,4.75,1.57,4.33,5.25,2.9,0.6
Arsenal 3–1 Liverpool,Arsenal,3–1,Liverpool,7,14,13,2.1,3.6,3.25,2.2,3.6,3.1,3.5,0.4
Liverpool 3–1 Burnley,Liverpool,3–1,Burnley,11,2,2,1.18,8.0,17.0,1.17,8.0,17.0,2.8,1.3
Brentford 1–4 Liverpool,Brentford,1–4,Liverpool,1,1,3,4.75,4.2,1.67,5.5,4.33,1.57,1.6,2.8
Liverpool 4–1 Luton Town,Liverpool,4–1,Luton Town,0,1,0,11.0,7.5,1.2,12.0,6.5,1.22,3.3,0.9
Nott'ham Forest 0–1 Liverpool,Nott'ham Forest,0–1,Liverpool,1,0,3,5.25,4.33,1.6,6.0,4.33,1.53,1.0,2.0
Liverpool 1–1 Manchester City,Liverpool,1–1,Manchester City,15,13,10,3.4,3.8,2.05,3.0,3.75,2.2,2.7,1.6
Liverpool 2–1 Brighton,Liverpool,2–1,Brighton,9,4,3,1.3,6.0,8.5,1.36,5.5,7.5,2.8,0.5
Liverpool 3–1 Sheffield Utd,Liverpool,3–1,Sheffield Utd,5,0,0,1.07,15.0,21.0,1.09,12.0,21.0,1.8,0.6
Manchester Utd 2–2 Liverpool,Manchester Utd,2–2,Liverpool,16,9,12,4.75,4.5,1.57,4.75,4.5,1.6,0.7,3.6
Liverpool 0–1 Crystal Palace,Liverpool,0–1,Crystal Palace,17,3,4,1.2,7.5,11.0,1.22,7.0,12.0,2.7,2.0
Fulham 1–3 Liverpool,Fulham,1–3,Liverpool,3,3,11,4.33,4.5,1.67,5.25,4.5,1.57,0.8,1.0
Everton 2–0 Liverpool,Everton,2–0,Liverpool,2,13,15,7.0,5.0,1.4,7.0,5.0,1.4,1.2,2.1
West Ham 2–2 Liverpool,West Ham,2–2,Liverpool,6,4,18,5.0,4.75,1.55,5.5,5.0,1.5,0.7,1.7
Liverpool 4–2 Tottenham,Liverpool,4–2,Tottenham,16,8,6,1.44,5.75,5.5,1.5,5.75,5.0,3.3,1.2
Aston Villa 3–3 Liverpool,Aston Villa,3–3,Liverpool,6,3,15,3.7,4.75,1.75,4.2,4.33,1.7,3.1,1.7
Liverpool 2–0 Wolves,Liverpool,2–0,Wolves,15,1,4,1.13,9.5,17.0,1.17,8.0,15.0,4.5,0.5
